date,/g/12nwxv98s_unscaled,/g/12nwxv98s_monthly,isPartial,scale,/g/12nwxv98s
2022-01-01,0,,,,
2022-01-02,78,0.0,False,0.0,0.0
2022-01-03,99,0.0,,0.0,0.0
2022-01-04,0,0.0,,0.0,0.0
2022-01-05,0,0.0,,0.0,0.0
2022-01-06,0,0.0,,0.0,0.0
2022-01-07,0,0.0,,0.0,0.0
2022-01-08,0,0.0,,0.0,0.0
2022-01-09,0,0.0,False,0.0,0.0
2022-01-10,0,0.0,,0.0,0.0
2022-01-11,0,0.0,,0.0,0.0
2022-01-12,0,0.0,,0.0,0.0
2022-01-13,0,0.0,,0.0,0.0
2022-01-14,0,0.0,,0.0,0.0
2022-01-15,83,0.0,,0.0,0.0
2022-01-16,0,0.0,False,0.0,0.0
2022-01-17,0,0.0,,0.0,0.0
2022-01-18,0,0.0,,0.0,0.0
2022-01-19,0,0.0,,0.0,0.0
2022-01-20,0,0.0,,0.0,0.0
2022-01-21,0,0.0,,0.0,0.0
2022-01-22,0,0.0,,0.0,0.0
2022-01-23,0,66.0,False,0.66,0.0
2022-01-24,0,66.0,,0.66,0.0
2022-01-25,0,66.0,,0.66,0.0
2022-01-26,0,66.0,,0.66,0.0
2022-01-27,76,66.0,,0.66,50.160000000000004
2022-01-28,0,66.0,,0.66,0.0
2022-01-29,0,66.0,,0.66,0.0
2022-01-30,100,69.0,False,0.69,69.0
2022-01-31,59,69.0,,0.69,40.709999999999994
2022-02-01,0,69.0,,0.69,0.0
2022-02-02,0,69.0,,0.69,0.0
2022-02-03,0,69.0,,0.69,0.0
2022-02-04,0,69.0,,0.69,0.0
2022-02-05,0,69.0,,0.69,0.0
2022-02-06,0,86.0,False,0.86,0.0
2022-02-07,0,86.0,,0.86,0.0
2022-02-08,0,86.0,,0.86,0.0
2022-02-09,0,86.0,,0.86,0.0
2022-02-10,0,86.0,,0.86,0.0
2022-02-11,0,86.0,,0.86,0.0
2022-02-12,100,86.0,,0.86,86.0
2022-02-13,0,56.0,False,0.56,0.0
2022-02-14,0,56.0,,0.56,0.0
2022-02-15,0,56.0,,0.56,0.0
2022-02-16,0,56.0,,0.56,0.0
2022-02-17,73,56.0,,0.56,40.88
2022-02-18,0,56.0,,0.56,0.0
2022-02-19,0,56.0,,0.56,0.0
2022-02-20,45,19.0,False,0.19,8.55
2022-02-21,0,19.0,,0.19,0.0
2022-02-22,0,19.0,,0.19,0.0
2022-02-23,0,19.0,,0.19,0.0
2022-02-24,42,19.0,,0.19,7.98
2022-02-25,0,19.0,,0.19,0.0
2022-02-26,0,19.0,,0.19,0.0
2022-02-27,0,41.0,False,0.41,0.0
2022-02-28,0,41.0,,0.41,0.0
2022-03-01,0,41.0,,0.41,0.0
2022-03-02,0,41.0,,0.41,0.0
2022-03-03,0,41.0,,0.41,0.0
2022-03-04,0,41.0,,0.41,0.0
2022-03-05,0,41.0,,0.41,0.0
2022-03-06,0,62.0,False,0.62,0.0
2022-03-07,0,62.0,,0.62,0.0
2022-03-08,0,62.0,,0.62,0.0
2022-03-09,0,62.0,,0.62,0.0
2022-03-10,0,62.0,,0.62,0.0
2022-03-11,0,62.0,,0.62,0.0
2022-03-12,0,62.0,,0.62,0.0
2022-03-13,0,0.0,False,0.0,0.0
2022-03-14,0,0.0,,0.0,0.0
2022-03-15,0,0.0,,0.0,0.0
2022-03-16,0,0.0,,0.0,0.0
2022-03-17,57,0.0,,0.0,0.0
2022-03-18,100,0.0,,0.0,0.0
2022-03-19,0,0.0,,0.0,0.0
2022-03-20,0,36.0,False,0.36,0.0
2022-03-21,0,36.0,,0.36,0.0
2022-03-22,45,36.0,,0.36,16.2
2022-03-23,0,36.0,,0.36,0.0
2022-03-24,0,36.0,,0.36,0.0
2022-03-25,0,36.0,,0.36,0.0
2022-03-26,0,36.0,,0.36,0.0
2022-03-27,0,19.0,False,0.19,0.0
2022-03-28,0,19.0,,0.19,0.0
2022-03-29,0,19.0,,0.19,0.0
2022-03-30,0,19.0,,0.19,0.0
2022-03-31,63,19.0,,0.19,11.97
2022-04-01,25,19.0,,0.19,4.75
2022-04-02,26,19.0,,0.19,4.94
2022-04-03,0,0.0,False,0.0,0.0
2022-04-04,0,0.0,,0.0,0.0
2022-04-05,27,0.0,,0.0,0.0
2022-04-06,34,0.0,,0.0,0.0
2022-04-07,62,0.0,,0.0,0.0
2022-04-08,39,0.0,,0.0,0.0
2022-04-09,0,0.0,,0.0,0.0
2022-04-10,0,25.0,False,0.25,0.0
2022-04-11,0,25.0,,0.25,0.0
2022-04-12,35,25.0,,0.25,8.75
2022-04-13,0,25.0,,0.25,0.0
2022-04-14,28,25.0,,0.25,7.0
2022-04-15,0,25.0,,0.25,0.0
2022-04-16,0,25.0,,0.25,0.0
2022-04-17,34,20.0,False,0.2,6.800000000000001
2022-04-18,0,20.0,,0.2,0.0
2022-04-19,0,20.0,,0.2,0.0
2022-04-20,0,20.0,,0.2,0.0
2022-04-21,0,20.0,,0.2,0.0
2022-04-22,0,20.0,,0.2,0.0
2022-04-23,0,20.0,,0.2,0.0
2022-04-24,0,0.0,False,0.0,0.0
2022-04-25,0,0.0,,0.0,0.0
2022-04-26,63,0.0,,0.0,0.0
2022-04-27,0,0.0,,0.0,0.0
2022-04-28,0,0.0,,0.0,0.0
2022-04-29,100,0.0,,0.0,0.0
2022-04-30,0,0.0,,0.0,0.0
2022-05-01,51,56.0,False,0.56,28.560000000000002
2022-05-02,0,56.0,,0.56,0.0
2022-05-03,0,56.0,,0.56,0.0
2022-05-04,0,56.0,,0.56,0.0
2022-05-05,0,56.0,,0.56,0.0
2022-05-06,0,56.0,,0.56,0.0
2022-05-07,0,56.0,,0.56,0.0
2022-05-08,26,21.0,False,0.21,5.46
2022-05-09,100,21.0,,0.21,21.0
2022-05-10,0,21.0,,0.21,0.0
2022-05-11,43,21.0,,0.21,9.03
2022-05-12,0,21.0,,0.21,0.0
2022-05-13,0,21.0,,0.21,0.0
2022-05-14,0,21.0,,0.21,0.0
2022-05-15,0,26.0,False,0.26,0.0
2022-05-16,0,26.0,,0.26,0.0
2022-05-17,0,26.0,,0.26,0.0
2022-05-18,0,26.0,,0.26,0.0
2022-05-19,0,26.0,,0.26,0.0
2022-05-20,0,26.0,,0.26,0.0
2022-05-21,72,26.0,,0.26,18.72
2022-05-22,70,67.0,False,0.67,46.900000000000006
2022-05-23,0,67.0,,0.67,0.0
2022-05-24,37,67.0,,0.67,24.790000000000003
2022-05-25,50,67.0,,0.67,33.5
2022-05-26,0,67.0,,0.67,0.0
2022-05-27,0,67.0,,0.67,0.0
2022-05-28,0,67.0,,0.67,0.0
2022-05-29,0,39.0,False,0.39,0.0
2022-05-30,0,39.0,,0.39,0.0
2022-05-31,0,39.0,,0.39,0.0
2022-06-01,39,39.0,,0.39,15.21
2022-06-02,0,39.0,,0.39,0.0
2022-06-03,0,39.0,,0.39,0.0
2022-06-04,0,39.0,,0.39,0.0
2022-06-05,0,34.0,False,0.34,0.0
2022-06-06,0,34.0,,0.34,0.0
2022-06-07,26,34.0,,0.34,8.84
2022-06-08,0,34.0,,0.34,0.0
2022-06-09,0,34.0,,0.34,0.0
2022-06-10,26,34.0,,0.34,8.84
2022-06-11,47,34.0,,0.34,15.98
2022-06-12,0,23.0,False,0.23,0.0
2022-06-13,0,23.0,,0.23,0.0
2022-06-14,33,23.0,,0.23,7.590000000000001
2022-06-15,0,23.0,,0.23,0.0
2022-06-16,29,23.0,,0.23,6.67
2022-06-17,0,23.0,,0.23,0.0
2022-06-18,0,23.0,,0.23,0.0
2022-06-19,0,46.0,False,0.46,0.0
2022-06-20,0,46.0,,0.46,0.0
2022-06-21,0,46.0,,0.46,0.0
2022-06-22,0,46.0,,0.46,0.0
2022-06-23,0,46.0,,0.46,0.0
2022-06-24,0,46.0,,0.46,0.0
2022-06-25,0,46.0,,0.46,0.0
2022-06-26,100,56.0,False,0.56,56.00000000000001
2022-06-27,0,56.0,,0.56,0.0
2022-06-28,0,56.0,,0.56,0.0
2022-06-29,0,56.0,,0.56,0.0
2022-06-30,0,56.0,,0.56,0.0
2022-07-01,0,56.0,,0.56,0.0
2022-07-02,0,56.0,,0.56,0.0
2022-07-03,25,94.0,False,0.94,23.5
2022-07-04,100,94.0,,0.94,94.0
2022-07-05,0,94.0,,0.94,0.0
2022-07-06,0,94.0,,0.94,0.0
2022-07-07,0,94.0,,0.94,0.0
2022-07-08,0,94.0,,0.94,0.0
2022-07-09,16,94.0,,0.94,15.04
2022-07-10,0,0.0,False,0.0,0.0
2022-07-11,0,0.0,,0.0,0.0
2022-07-12,0,0.0,,0.0,0.0
2022-07-13,0,0.0,,0.0,0.0
2022-07-14,30,0.0,,0.0,0.0
2022-07-15,0,0.0,,0.0,0.0
2022-07-16,38,0.0,,0.0,0.0
2022-07-17,16,0.0,False,0.0,0.0
2022-07-18,0,0.0,,0.0,0.0
2022-07-19,21,0.0,,0.0,0.0
2022-07-20,0,0.0,,0.0,0.0
2022-07-21,19,0.0,,0.0,0.0
2022-07-22,29,0.0,,0.0,0.0
2022-07-23,0,0.0,,0.0,0.0
2022-07-24,0,50.0,False,0.5,0.0
2022-07-25,0,50.0,,0.5,0.0
2022-07-26,0,50.0,,0.5,0.0
2022-07-27,0,50.0,,0.5,0.0
2022-07-28,0,50.0,,0.5,0.0
2022-07-29,0,50.0,,0.5,0.0
2022-07-30,0,50.0,,0.5,0.0
2022-07-31,21,41.0,False,0.41,8.61
2022-08-01,0,41.0,,0.41,0.0
2022-08-02,0,41.0,,0.41,0.0
2022-08-03,0,41.0,,0.41,0.0
2022-08-04,82,41.0,,0.41,33.62
2022-08-05,0,41.0,,0.41,0.0
2022-08-06,74,41.0,,0.41,30.34
2022-08-07,0,0.0,False,0.0,0.0
2022-08-08,0,0.0,,0.0,0.0
2022-08-09,0,0.0,,0.0,0.0
2022-08-10,0,0.0,,0.0,0.0
2022-08-11,0,0.0,,0.0,0.0
2022-08-12,0,0.0,,0.0,0.0
2022-08-13,0,0.0,,0.0,0.0
2022-08-14,0,67.0,False,0.67,0.0
2022-08-15,0,67.0,,0.67,0.0
2022-08-16,54,67.0,,0.67,36.18
2022-08-17,0,67.0,,0.67,0.0
2022-08-18,88,67.0,,0.67,58.96
2022-08-19,45,67.0,,0.67,30.150000000000002
2022-08-20,52,67.0,,0.67,34.84
2022-08-21,52,71.0,False,0.71,36.92
2022-08-22,0,71.0,,0.71,0.0
2022-08-23,100,71.0,,0.71,71.0
2022-08-24,54,71.0,,0.71,38.339999999999996
2022-08-25,0,71.0,,0.71,0.0
2022-08-26,0,71.0,,0.71,0.0
2022-08-27,0,71.0,,0.71,0.0
2022-08-28,0,0.0,False,0.0,0.0
2022-08-29,0,0.0,,0.0,0.0
2022-08-30,0,0.0,,0.0,0.0
2022-08-31,52,0.0,,0.0,0.0
2022-09-01,0,0.0,,0.0,0.0
2022-09-02,0,0.0,,0.0,0.0
2022-09-03,69,0.0,,0.0,0.0
2022-09-04,0,0.0,False,0.0,0.0
2022-09-05,0,0.0,,0.0,0.0
2022-09-06,100,0.0,,0.0,0.0
2022-09-07,0,0.0,,0.0,0.0
2022-09-08,0,0.0,,0.0,0.0
2022-09-09,0,0.0,,0.0,0.0
2022-09-10,0,0.0,,0.0,0.0
2022-09-11,0,31.0,False,0.31,0.0
2022-09-12,0,31.0,,0.31,0.0
2022-09-13,0,31.0,,0.31,0.0
2022-09-14,0,31.0,,0.31,0.0
2022-09-15,56,31.0,,0.31,17.36
2022-09-16,0,31.0,,0.31,0.0
2022-09-17,0,31.0,,0.31,0.0
2022-09-18,0,0.0,False,0.0,0.0
2022-09-19,0,0.0,,0.0,0.0
2022-09-20,0,0.0,,0.0,0.0
2022-09-21,70,0.0,,0.0,0.0
2022-09-22,0,0.0,,0.0,0.0
2022-09-23,0,0.0,,0.0,0.0
2022-09-24,96,0.0,,0.0,0.0
2022-09-25,0,0.0,False,0.0,0.0
2022-09-26,57,0.0,,0.0,0.0
2022-09-27,41,0.0,,0.0,0.0
2022-09-28,0,0.0,,0.0,0.0
2022-09-29,0,0.0,,0.0,0.0
2022-09-30,0,0.0,,0.0,0.0
2022-10-01,0,0.0,,0.0,0.0
2022-10-02,81,32.0,False,0.32,25.92
2022-10-03,0,32.0,,0.32,0.0
2022-10-04,0,32.0,,0.32,0.0
2022-10-05,0,32.0,,0.32,0.0
2022-10-06,0,32.0,,0.32,0.0
2022-10-07,0,32.0,,0.32,0.0
2022-10-08,0,32.0,,0.32,0.0
2022-10-09,0,19.0,False,0.19,0.0
2022-10-10,69,19.0,,0.19,13.11
2022-10-11,0,19.0,,0.19,0.0
2022-10-12,84,19.0,,0.19,15.96
2022-10-13,0,19.0,,0.19,0.0
2022-10-14,100,19.0,,0.19,19.0
2022-10-15,0,19.0,,0.19,0.0
2022-10-16,0,22.0,False,0.22,0.0
2022-10-17,0,22.0,,0.22,0.0
2022-10-18,0,22.0,,0.22,0.0
2022-10-19,0,22.0,,0.22,0.0
2022-10-20,0,22.0,,0.22,0.0
2022-10-21,0,22.0,,0.22,0.0
2022-10-22,0,22.0,,0.22,0.0
2022-10-23,0,16.0,False,0.16,0.0
2022-10-24,0,16.0,,0.16,0.0
2022-10-25,0,16.0,,0.16,0.0
2022-10-26,0,16.0,,0.16,0.0
2022-10-27,0,16.0,,0.16,0.0
2022-10-28,0,16.0,,0.16,0.0
2022-10-29,88,16.0,,0.16,14.08
2022-10-30,48,26.0,False,0.26,12.48
2022-10-31,0,26.0,,0.26,0.0
2022-11-01,0,26.0,,0.26,0.0
2022-11-02,0,26.0,,0.26,0.0
2022-11-03,43,26.0,,0.26,11.18
2022-11-04,59,26.0,,0.26,15.34
2022-11-05,0,26.0,,0.26,0.0
2022-11-06,84,42.0,False,0.42,35.28
2022-11-07,57,42.0,,0.42,23.939999999999998
2022-11-08,0,42.0,,0.42,0.0
2022-11-09,0,42.0,,0.42,0.0
2022-11-10,0,42.0,,0.42,0.0
2022-11-11,0,42.0,,0.42,0.0
2022-11-12,0,42.0,,0.42,0.0
2022-11-13,0,19.0,False,0.19,0.0
2022-11-14,0,19.0,,0.19,0.0
2022-11-15,0,19.0,,0.19,0.0
2022-11-16,0,19.0,,0.19,0.0
2022-11-17,0,19.0,,0.19,0.0
2022-11-18,0,19.0,,0.19,0.0
2022-11-19,64,19.0,,0.19,12.16
2022-11-20,0,53.0,False,0.53,0.0
2022-11-21,0,53.0,,0.53,0.0
2022-11-22,0,53.0,,0.53,0.0
2022-11-23,100,53.0,,0.53,53.0
2022-11-24,0,53.0,,0.53,0.0
2022-11-25,0,53.0,,0.53,0.0
2022-11-26,0,53.0,,0.53,0.0
2022-11-27,96,0.0,False,0.0,0.0
2022-11-28,47,0.0,,0.0,0.0
2022-11-29,0,0.0,,0.0,0.0
2022-11-30,0,0.0,,0.0,0.0
2022-12-01,0,0.0,,0.0,0.0
2022-12-02,0,0.0,,0.0,0.0
2022-12-03,0,0.0,,0.0,0.0
2022-12-04,100,19.0,False,0.19,19.0
2022-12-05,0,19.0,,0.19,0.0
2022-12-06,0,19.0,,0.19,0.0
2022-12-07,0,19.0,,0.19,0.0
2022-12-08,0,19.0,,0.19,0.0
2022-12-09,0,19.0,,0.19,0.0
2022-12-10,0,19.0,,0.19,0.0
2022-12-11,0,17.0,False,0.17,0.0
2022-12-12,0,17.0,,0.17,0.0
2022-12-13,0,17.0,,0.17,0.0
2022-12-14,0,17.0,,0.17,0.0
2022-12-15,0,17.0,,0.17,0.0
2022-12-16,37,17.0,,0.17,6.29
2022-12-17,0,17.0,,0.17,0.0
2022-12-18,0,44.0,False,0.44,0.0
2022-12-19,65,44.0,,0.44,28.6
2022-12-20,65,44.0,,0.44,28.6
2022-12-21,0,44.0,,0.44,0.0
2022-12-22,0,44.0,,0.44,0.0
2022-12-23,0,44.0,,0.44,0.0
2022-12-24,0,44.0,,0.44,0.0
2022-12-25,58,49.0,False,0.49,28.419999999999998
2022-12-26,0,49.0,,0.49,0.0
2022-12-27,0,49.0,,0.49,0.0
2022-12-28,0,49.0,,0.49,0.0
2022-12-29,0,49.0,,0.49,0.0
2022-12-30,0,49.0,,0.49,0.0
2022-12-31,0,49.0,,0.49,0.0
2023-01-01,30,18.0,False,0.18,5.3999999999999995
2023-01-02,0,18.0,,0.18,0.0
2023-01-03,41,18.0,,0.18,7.38
2023-01-04,40,18.0,,0.18,7.199999999999999
2023-01-05,0,18.0,,0.18,0.0
2023-01-06,0,18.0,,0.18,0.0
2023-01-07,0,18.0,,0.18,0.0
2023-01-08,0,0.0,False,0.0,0.0
2023-01-09,0,0.0,,0.0,0.0
2023-01-10,0,0.0,,0.0,0.0
2023-01-11,0,0.0,,0.0,0.0
2023-01-12,0,0.0,,0.0,0.0
2023-01-13,0,0.0,,0.0,0.0
2023-01-14,0,0.0,,0.0,0.0
2023-01-15,0,37.0,False,0.37,0.0
2023-01-16,0,37.0,,0.37,0.0
